id;name
11;Ветеринарная справка 4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
8;Ветеринарное свидетельство 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
9;Ветеринарное свидетельство 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
10;Ветеринарное свидетельство 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
12;Ветеринарный сертификат 5a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
13;Ветеринарный сертификат 5b                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
14;Ветеринарный сертификат 5c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
15;Ветеринарный сертификат 5d                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
16;Ветеринарный сертификат 5e                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
17;Ветеринарный сертификат 5f                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
18;Ветеринарный сертификат 5g                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
19;Ветеринарный сертификат 5h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
4;Ветеринарный сертификат 5i                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
20;Ветеринарный сертификат 5j                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
21;Ветеринарный сертификат 5k                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1;Ветеринарный сертификат 6.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2;Ветеринарный сертификат 6.2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
3;Ветеринарный сертификат 6.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
5;Ветеринарный сертификат ТС 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
6;Ветеринарный сертификат ТС 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
7;Ветеринарный сертификат ТС 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
-1;Не указано                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
22;Производственный сертификат 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
23;Справка о безопасности сырого молока 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
