guid;name;alpha2;alpha3;numCode
00000000-0000-0000-0000-000000000000;'Не определена';;;-1
d13b7f26-82b6-4591-c1de-eb19e75671ea;Киргизия;KG;KGZ;0
2ca4d153-0e81-15d1-f7b3-78eba7e814ef;Корея, Народно-Демократическая Республика;KP;PRK;0
49307750-2dfc-97ed-cdef-db0b60821cd1;Корея, Республика;KR;KOR;0
1b7b85bf-7fd5-1399-ded5-fd82562e5770;Кувейт;KW;KWT;0
fb192975-4b68-d6c2-e8c5-bea886e201aa;Лаосская Народно-Демократическая Республика;LA;LAO;0
17d6bd12-40e1-1205-f066-4dfadba27f07;о-ва Фаэро;;;0
29c8555e-9ee2-3dca-0d50-dfacf5c712bb;о. Рота;;;0
33b9b1fe-ba31-8675-4197-1f44f0fbf0a0;Сент-Кристофер;;;0
4e15c13f-84f1-2fa8-20ce-d744a63135e0;Шотландия;;;0
5abcdb0e-1aa1-b4a3-a144-70cad2ffadbf;Канарские о-ва;;;0
6ce3ef31-0593-28e9-35af-2b087c5e658d;о. Тиниан;;;0
7bb1c18a-a4bb-f7ce-10d0-8eafe9a98610;Антильские о-ва;;;0
83720412-6a9b-8dbb-5542-94986e3cd743;Нидерландские Антильские о-ва;;;0
8aba6a1d-1873-4b9b-b8c3-d3a15c6c18a2;Уэльс;;;0
908c2110-cfcf-58b9-321a-094aedba7a54;о. Святой Елены;;;0
9f09368f-68e8-99ef-b0c2-e2466138e399;Невис;;;0
bcb19e45-bf61-7991-ef03-90c4a85860d7;Диего Гарсия;;;0
c441a0a4-95a3-0347-8e20-dee5b3f79477;Барбуда;;;0
d84fa0c1-cf6d-d13f-a3ae-90ccbbecd942;о. Сайпан;;;0
da678840-c68f-11f3-fba5-a47587f40206;Французские Антильские о-ва;;;0
e72e3825-aa95-5b55-8549-5bd465f8da0b;о. Вознесения;;;0
bda84c70-b079-c37a-59b7-3cce36635652;Афганистан;AF;AFG;4
0b0d6a33-4134-b480-cf09-a28525352fe4;Албания;AL;ALB;8
1a3ee49a-e456-439e-b88d-e091d1e4b2ba;Антарктида;AQ;ATA;10
4c088512-3a0d-50e7-3e20-ab3be8848e7f;Алжир;DZ;DZA;12
67fd2b8e-fc45-ab08-2804-8ecae418e285;Американское Самоа;AS;ASM;16
3d6ba798-3184-28f4-a6a1-0fa2a3aadee5;Андорра;AD;AND;20
2a05396f-08e2-b148-6b9d-c65df4f3d597;Ангола;AO;AGO;24
9c1adb3c-a1ed-43ab-36c1-99bf15b41702;Антигуа и Барбуда;AG;ATG;28
3d8255f1-48eb-7932-b951-c91a1d65aead;Азербайджан;AZ;AZE;31
04e33fd5-7427-a077-c052-da97dc1f17b9;Аргентина;AR;ARG;32
