id;name;product_type_id;guid
-1;Не указано                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;-1;NONE                                                                            
1;говядина                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;1;362aa885-9b9f-ae95-05d0-f9570f4fbdc6                                            
2;свинина                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;1;57a674fd-ca2b-c523-6853-72d27b4ae32c                                            
3;баранина                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;1;74269863-8169-ca83-e48e-37fc80e8c0a9                                            
4;козлятина                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;1;13581a3b-c7c0-915e-62eb-fa9fc897573b                                            
5;конина                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;1;64930556-cbb2-13db-bcdc-572eb188e45e                                            
7;субпродукты и жиры говяжьи                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;1;f97d8683-89d2-d7f7-5015-cdeaab4be98f                                            
8;субпродукты и жиры свиные                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;1;40dd45d4-75aa-b984-4fdb-291f84afad03                                            
9;субпродукты и жиры конские                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;1;16d9f824-a5f3-6837-3073-e54c4ed5d74d                                            
10;субпродукты мелкого рогатого скота                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;1;0afdd23b-6fbb-ce96-669f-b0922b9efb85                                            
11;мясо птицы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;1;337f79dc-4376-6e33-dabe-d5447913b97d                                            
13;мясо кролика                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;1;ce9828e8-1b07-f094-8eb9-8b450994153d                                            
14;мясо диких животных, рептилий и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;1;ae99803f-c580-5b1d-80ce-a5139f74d71c                                            
15;мясо китов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;1;cbd9f7c4-4033-75e2-d187-ee21a2a10246                                            
16;мясо морских животных                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;1;527a0f5a-e880-e3ca-d41f-65aa63cc6313                                            
17;мясо рептилий                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;1;e302358c-258a-93a4-3eb5-4385b30ff1d2                                            
18;прочее мясо                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;1;62160578-dc4d-1934-b6bc-5dfa7a2ad4d1                                            
