id;name;guid;last;federalDistrict;guidCountry
67;Республика Тыва;026bc56f-3731-48e9-8245-655331f596c0;Y;5;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
36;Омская область;05426864-466d-41a3-82c4-11e61cdc98ce;Y;5;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
17;Ивановская область;0824434f-4098-4467-af72-d4f702fed335;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
24;Кировская область;0b940b96-103f-4248-850c-26b6c7296728;Y;7;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
58;Республика Дагестан;0bb7fa19-736d-49cf-ad0e-9774c4dae09b;Y;8;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
66;Республика Татарстан;0c089b04-099e-4e0e-955a-6bf1ce525f1a;Y;7;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
77;г. Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
25;Костромская область;15784a67-8cea-425b-834a-6afe0e3ed61c;Y;5;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
35;Новосибирская область;1ac46b49-3209-4814-b7bf-a509ea1aecd9;Y;5;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
76;Еврейская автономная область;1b507b09-48c9-434f-bf6f-65066211c73e;Y;4;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
33;Мурманская область;1c727518-c96a-4f34-9ae6-fd510da3be03;Y;3;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
61;Республика Карелия;248d8071-06e1-425e-a1cf-d1ff4c4a14a8;Y;3;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
52;Челябинская область;27eb7c10-a234-44da-a59c-8b1f864966de;Y;6;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
32;Московская область;29251dcf-00a1-4e34-98d4-5c47484a36d4;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
8;Архангельская область;294277aa-e25d-428c-95ad-46719c4ddb44;Y;3;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
5;Ставропольский край;327a060b-878c-4fb4-8dc4-d5595871a3d8;Y;8;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
64;Республика Мордовия;37a0c60a-9240-48b5-a87f-0d8c86cdb6e1;Y;7;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
23;Кемеровская область;393aeccb-89ef-4a7e-ae42-08d5cebc2e30;Y;5;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
4;Приморский край;43909681-d6e1-432d-b61f-ddac393cb5da;Y;4;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
60;Республика Калмыкия;491cde9d-9d76-4591-ab46-ea93c079e686;Y;2;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
27;Курганская область;4a3d970f-520e-46b9-b16c-50d4ca7535a8;Y;6;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
40;Пермский край;4f8b1a21-e4bb-422f-9087-d3cbf4bebc14;Y;7;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
68;Удмуртская Республика;52618b9c-bcbb-47e7-8957-95c63f0b17cc;Y;7;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
51;Тюменская область;54049357-326d-4b8f-b224-3c6dc25d6dd3;Y;6;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
